Word;Translation;Sentence references
piano;plane;[]
vece;stead;[]
asciutto;dry;[]
meraviglia;wonder;[]
ridere;laugh;[]
migliaia;thousand;[]
fa;ago;[]
corse;ran;[]
controllare;check;[]
gioco;game;[]
forma;shape;[]
uguagliare;equate;[]
caldo;hot;[]
perdere;miss;[]
portato;brought;['2_35']
calore;heat;[]
neve;snow;[]
pneumatico;tire;[]
portare;bring;[]
sì;yes;['1_11', '2_27']
lontano;distant;['0_69']
riempire;fill;[]
est;east;[]
dipingere;paint;[]
lingua;language;[]
tra;among;['2_14', '2_16']
unità;unit;[]
potenza;power;[]
città;town;[]
fine;fine;['0_58', '2_25', '2_29']
certo;certain;[]
volare;fly;[]
cadere;fall;[]
portare;lead;[]
grido;cry;[]
scuro;dark;[]
macchina;machine;[]
nota;note;[]
aspettare;wait;['1_12']
piano;plan;[]
figura;figure;[]
stella;star;[]
scatola;box;[]
sostantivo;noun;[]
campo;field;[]
resto;rest;[]
corretto;correct;[]
in grado di;able;[]
libbra;pound;[]
done;done;[]
bellezza;beauty;[]
unità;drive;[]
sorgeva;stood;[]
contenere;contain;[]
frontale;front;[]
insegnare;teach;[]
settimana;week;[]
finale;final;[]
ha dato;gave;[]
verde;green;['1_1']
oh;oh;[]
veloce;quick;[]
sviluppare;develop;[]
oceano;ocean;[]
caldo;warm;[]
gratuito;free;[]
minuto;minute;[]
forte;strong;['1_16', '1_21', '2_20', '2_45']
speciale;special;[]
mente;mind;[]
dietro;behind;['2_19', '2_22']
chiaro;clear;[]
coda;tail;[]
produrre;produce;[]
fatto;fact;[]
spazio;space;[]
sentito;heard;[]
migliore;best;[]
ora;hour;['0_65']
meglio;better;['1_12', '2_35', '2_46', '2_47', '2_48', '2_50']
vero;TRUE;[]
durante;during;[]
cento;hundred;['0_68']
cinque;five;[]
ricordare;remember;[]
passo;step;[]
presto;early;['0_68', '2_7']
tenere;hold;[]
ovest;west;['0_38']
terra;ground;['2_9']
interesse;interest;[]
raggiungere;reach;['1_2']
veloce;fast;[]
verbo;verb;[]
cantare;sing;[]
ascoltare;listen;[]
sei;six;['2_35', '2_68']
tavolo;table;['0_23', '0_24']
viaggi;travel;[]
meno;less;['2_39']
mattina;morning;['1_4']
dieci;ten;[]
semplice;simple;[]
alcuni;several;['0_40']
vocale;vowel;[]
verso;toward;[]
guerra;war;[]
porre;lay;[]
contro;against;[]
modello;pattern;[]
lento;slow;[]
centro;center;['2_0']
amore;love;[]
persona;person;[]
soldi;money;[]
servire;serve;[]
apparire;appear;[]
strada;road;['0_3', '0_21', '0_39', '0_66']
mappa;map;[]
pioggia;rain;[]
regola;rule;[]
governare;govern;[]
tirare;pull;['0_57']
freddo;cold;[]
avviso;notice;[]
voce;voice;['1_9', '1_16', '2_25', '2_45', '2_49']
energia;energy;[]
caccia;hunt;['2_16']
probabile;probable;[]
letto;bed;['0_5', '0_6', '2_33', '2_41', '2_47', '2_50', '2_56', '2_59']
fratello;brother;['1_11', '1_18']
uovo;egg;[]
giro;ride;[]
cella;cell;[]
credere;believe;[]
forse;perhaps;[]
scegliere;pick;[]
improvviso;sudden;['1_7']
contare;count;[]
piazza;square;[]
motivo;reason;[]
lunghezza;length;[]
rappresentare;represent;[]
arte;art;[]
soggetto;subject;[]
regione;region;[]
dimensione;size;[]
variare;vary;[]
risolvere;settle;[]
parlare;speak;['2_28']
peso;weight;[]
generale;general;[]
ghiaccio;ice;[]
materia;matter;[]
cerchio;circle;[]
coppia;pair;[]
includere;include;[]
divide;divide;[]
sillaba;syllable;[]
feltro;felt;[]
grande;grand;['1_11', '1_18', '1_21', '1_27', '2_49']
palla;ball;[]
ancora;yet;['1_20', '1_23', '2_12', '2_29']
onda;wave;[]
cadere;drop;[]
cuore;heart;['2_20']
am;am;[]
presente;present;[]
pesante;heavy;[]
danza;dance;[]
motore;engine;[]
posizione;position;[]
braccio;arm;[]
ampio;wide;[]
vela;sail;[]
materiale;material;[]
frazione;fraction;[]
foresta;forest;['0_69', '2_0', '2_4', '2_6', '2_13', '2_23', '2_52', '2_68']
sedersi;sit;[]
gara;race;[]
finestra;window;['2_56']
negozio;store;[]
estate;summer;[]
treno;train;[]
sonno;sleep;[]
dimostrare;prove;[]
solitario;lone;[]
gamba;leg;[]
esercizio;exercise;[]
muro;wall;[]
prendere;catch;['0_68']
monte;mount;[]
desiderio;wish;['1_1']
cielo;sky;[]
pensione;board;[]
gioia;joy;['2_67']
inverno;winter;[]
sat;sat;[]
scritto;written;[]
selvaggio;wild;[]
strumento;instrument;[]
tenere;kept;[]
vetro;glass;[]
erba;grass;['1_1', '2_17']
mucca;cow;[]
lavoro;job;[]
bordo;edge;[]
segno;sign;[]
visita;visit;[]
passato;past;[]
morbido;soft;[]
divertimento;fun;[]
luminoso;bright;[]
gas;gas;[]
tempo;weather;[]
mese;month;[]
milione;million;[]
sopportare;bear;[]
finitura;finish;[]
felice;happy;['0_37']
speranza;hope;[]
fiore;flower;[]
vestire;clothe;[]
strano;strange;['2_20', '2_22', '2_37', '2_55']
gone;gone;[]
commercio;trade;[]
melodia;melody;[]
viaggio;trip;[]
ufficio;office;[]
ricevere;receive;[]
fila;row;[]
bocca;mouth;['0_7', '2_49']
esatto;exact;[]
simbolo;symbol;[]
morire;die;[]
meno;least;['2_39']
difficoltà;trouble;[]
shout;shout;[]
tranne;except;[]
ha scritto;wrote;[]
seme;seed;[]
tono;tone;[]
aderire;join;[]
suggerire;suggest;[]
pulito;clean;[]
pausa;break;[]
signora;lady;[]
cantiere;yard;[]
salire;rise;[]
male;bad;[]
colpo;blow;[]
olio;oil;[]
sangue;blood;[]
toccare;touch;[]
è cresciuto;grew;[]
cent;cent;[]
mescolare;mix;[]
team;team;[]
filo;wire;['1_9']
costo;cost;[]
perso;lost;[]
marrone;brown;[]
indossare;wear;[]
giardino;garden;['2_61']
pari;equal;[]
inviato;sent;[]
scegliere;choose;[]
caduto;fell;[]
adattarsi;fit;[]
flusso;flow;[]
fiera;fair;[]
banca;bank;[]
raccogliere;collect;[]
salvare;save;[]
controllo;control;[]
decimale;decimal;[]
orecchio;ear;[]
altro;else;['2_22']
abbastanza;quite;['0_1']
rotto;broke;[]
caso;case;[]
mezzo;middle;['1_16']
uccidere;kill;[]
figlio;son;[]
lago;lake;[]
momento;moment;[]
scala;scale;[]
forte;loud;['1_16', '1_21', '2_20', '2_45']
primavera;spring;[]
osservare;observe;[]
bambino;child;[]
dritto;straight;[]
consonante;consonant;[]
nazione;nation;[]
dizionario;dictionary;[]
latte;milk;[]
velocità;speed;[]
metodo;method;[]
organo;organ;[]
pagare;pay;[]
età;age;[]
sezione;section;[]
vestito;dress;['2_41']
nube;cloud;[]
sorpresa;surprise;['2_45']
tranquillo;quiet;[]
pietra;stone;[]
piccolo;tiny;['1_5', '1_8', '1_12']
salita;climb;[]
fresco;cool;[]
design;design;[]
povero;poor;['0_69']
lotto;lot;[]
esperimento;experiment;[]
fondo;bottom;[]
chiave;key;[]
ferro;iron;[]
singolo;single;[]
bastone;stick;[]
appartamento;flat;[]
venti;twenty;[]
pelle;skin;[]
sorriso;smile;[]
piega;crease;[]
foro;hole;[]
salto;jump;[]
bambino;baby;[]
otto;eight;[]
villaggio;village;['2_54', '2_63']
si incontrano;meet;[]
radice;root;[]
acquistare;buy;[]
aumentare;raise;[]
risolvere;solve;[]
metallo;metal;[]
se;whether;['2_5', '2_29', '2_65']
spingere;push;[]
sette;seven;[]
paragrafo;paragraph;[]
terzo;third;['0_38', '1_21']
deve;shall;[]
tenuto;held;[]
capelli;hair;[]
descrivere;describe;[]
cuoco;cook;[]
piano;floor;[]
o;either;[]
risultato;result;[]
bruciare;burn;[]
collina;hill;['1_0']
sicuro;safe;['0_62', '1_28', '2_64', '2_70']
gatto;cat;[]
secolo;century;[]
considerare;consider;[]
tipo;type;[]
legge;law;[]
bit;bit;[]
costa;coast;[]
copia;copy;[]
frase;phrase;[]
silenzioso;silent;[]
alto;tall;[]
sabbia;sand;[]
suolo;soil;[]
rotolo;roll;[]
temperatura;temperature;[]
dito;finger;[]
industria;industry;[]
valore;value;[]
lotta;fight;[]
bugia;lie;[]
battere;beat;[]
eccitare;excite;[]
naturale;natural;[]
vista;view;[]
senso;sense;[]
capitale;capital;[]
non sarà;won’t;[]
sedia;chair;[]
pericolo;danger;[]
frutta;fruit;[]
ricco;rich;[]
spesso;thick;[]
soldato;soldier;[]
processo;process;[]
operare;operate;[]
pratica;practice;[]
separato;separate;[]
difficile;difficult;[]
medico;doctor;[]
per favore;please;[]
proteggere;protect;[]
mezzogiorno;noon;[]
raccolto;crop;[]
moderno;modern;[]
elemento;element;[]
colpire;hit;[]
studente;student;[]
angolo;corner;[]
partito;party;[]
fornitura;supply;[]
la cui;whose;[]
individuare;locate;[]
anello;ring;[]
carattere;character;[]
insetto;insect;[]
catturato;caught;[]
periodo;period;[]
indicare;indicate;[]
radio;radio;[]
raggio;spoke;['0_68']
atomo;atom;[]
umano;human;[]
storia;history;[]
effetto;effect;[]
elettrico;electric;[]
aspettare;expect;['1_12']
osso;bone;[]
ferrovia;rail;[]
immaginare;imagine;[]
fornire;provide;[]
concordare;agree;[]
così;thus;['0_3', '0_21', '0_31', '0_39', '0_49', '0_58', '0_60', '0_68', '1_12', '2_10']
dolce;gentle;[]
donna;woman;[]
capitano;captain;[]
indovinare;guess;[]
necessario;necessary;[]
tagliente;sharp;[]
ala;wing;[]
creare;create;[]
prossimo;neighbor;['1_12']
lavaggio;wash;[]
pipistrello;bat;[]
piuttosto;rather;[]
folla;crowd;[]
mais;corn;[]
confrontare;compare;[]
poesia;poem;[]
stringa;string;[]
campana;bell;[]
dipendere;depend;[]
carne;meat;['1_10']
strofinare;rub;[]
tubo;tube;[]
famoso;famous;[]
dollaro;dollar;[]
ruscello;stream;[]
paura;fear;[]
vista;sight;[]
sottile;thin;['2_25']
triangolo;triangle;[]
pianeta;planet;[]
fretta;hurry;['2_5', '2_12']
capo;chief;[]
colonia;colony;[]
orologio;clock;[]
miniera;mine;[]
cravatta;tie;[]
inserire;enter;[]
maggiore;major;[]
fresco;fresh;[]
ricerca;search;[]
inviare;send;[]
giallo;yellow;[]
pistola;gun;[]
consentire;allow;[]
stampa;print;[]
morto;dead;[]
spot;spot;[]
deserto;desert;[]
tuta;suit;[]
corrente;current;['1_26']
ascensore;lift;[]
rosa;rose;[]
arrivare;arrive;[]
master;master;[]
pista;track;[]
genitore;parent;[]
riva;shore;['1_4']
divisione;division;[]
foglio;sheet;[]
sostanza;substance;[]
favorire;favor;[]
collegare;connect;[]
Messaggio;post;[]
spendere;spend;[]
accordo;chord;[]
grasso;fat;[]
felice;glad;['0_37']
originale;original;[]
quota;share;[]
stazione;station;[]
papà;dad;[]
pane;bread;[]
carica;charge;[]
corretto;proper;[]
bar;bar;[]
offerta;offer;[]
segmento;segment;[]
schiavo;slave;[]
anatra;duck;[]
immediato;instant;[]
mercato;market;[]
grado;degree;[]
popolare;populate;[]
pulcino;chick;[]
caro;dear;[]
nemico;enemy;[]
rispondere;reply;[]
bevanda;drink;[]
verificarsi;occur;[]
supporto;support;[]
discorso;speech;[]
natura;nature;[]
gamma;range;[]
vapore;steam;[]
moto;motion;[]
sentiero;path;['2_4', '2_8', '2_12', '2_21', '2_25', '2_29', '2_65', '2_69']
liquido;liquid;[]
log;log;[]
significava;meant;[]
quoziente;quotient;[]
denti;teeth;['0_18', '0_36', '0_54']
guscio;shell;[]
collo;neck;[]
ossigeno;oxygen;[]
zucchero;sugar;[]
morte;death;[]
piuttosto;pretty;[]
abilità;skill;[]
donne;women;[]
stagione;season;[]
soluzione;solution;[]
magnete;magnet;[]
argento;silver;[]
grazie;thank;[]
ramo;branch;[]
partita;match;[]
suffisso;suffix;[]
particolarmente;especially;[]
fico;fig;[]
impaurito;afraid;[]
enorme;huge;['2_18']
sorella;sister;[]
acciaio;steel;[]
discutere;discuss;[]
avanti;forward;['1_5']
simile;similar;[]
guidare;guide;[]
esperienza;experience;[]
punteggio;score (noun);[]
mela;apple;[]
comprato;bought;[]
portato;led;['2_35']
pece;pitch;[]
cappotto;coat;[]
massa;mass;[]
scheda;card;[]
banda;band (rubber);[]
corda;rope;[]
slittamento;slip;[]
vittoria;win;[]
sognare;dream;[]
sera;evening;[]
condizione;condition;[]
alimentazione;feed;[]
strumento;tool;[]
totale;total;[]
di base;basic;[]
odore;smell;['0_7', '0_25', '0_43']
valle;valley;[]
né;nor;[]
doppio;double;[]
sedile;seat (in a car);[]
continuare;continue;[]
blocco;a block;[]
grafico;chart;[]
cappello;hat;[]
vendere;sell;[]
successo;success;[]
azienda;a company;[]
sottrarre;subtract;[]
evento;event;[]
particolare;particular;[]
affare;deal;[]
nuoto;swim;[]
termine;term;[]
opposto;opposite;[]
moglie;wife;[]
scarpa;shoe;[]
spalla;shoulder;[]
spargere;spread;[]
organizzare;arrange;[]
campo;a camp;[]
inventare;invent;[]
cotone;cotton;[]
nascita;birth;[]
determinare;determine;[]
quarto di gallone;quart;[]
nove;nine;[]
camion;truck;[]
rumore;noise;['2_20', '2_22']
livello;level;[]
possibilità;a chance;[]
raccogliere;gather;[]
negozio;a shop;[]
tratto;stretch (of land);[]
gettare;throw;[]
brillare;shine;[]
proprietà;property;[]
colonna;column;[]
molecola;molecule;[]
selezionare;select;[]
sbagliato;wrong;[]
grigio;gray;[]
ripetizione;repeat;[]
richiedere;require;[]
ampio;broad;[]
preparare;prepare;[]
sale;salt;[]
